,movie,production_budget,domestic_gross,worldwide_gross,studio,original_language,popularity,release_date,vote_average,vote_count
290,Hop,63.0,108.085305,188.657593,Uni.,en,14.738,2011-04-01,5.6,611
291,American Assassin,63.0,36.249674,68.31014,LGF,en,15.434000000000001,2017-09-15,6.3,1596
292,The Hateful Eight,62.0,54.117416,147.864886,Wein.,en,20.680999999999997,2015-12-25,7.7,8065
293,Gone Girl,61.0,167.767189,368.567189,Fox,en,31.215,2014-10-03,7.9,10459
294,Maze Runner: The Scorch Trials,61.0,81.697192,310.566162,Fox,en,17.31,2015-09-18,6.6,6365
295,2 Guns,61.0,75.61246,132.493015,Uni.,en,14.8,2013-08-02,6.5,2368
296,Maze Runner: The Death Cure,61.0,58.032443,265.878536,Fox,en,23.166,2018-01-26,7.0,3894
297,Sully,60.0,125.070033,238.524556,WB,en,18.148,2016-09-09,7.1,3924
298,Red,60.0,90.380162,196.439693,Sum.,en,0.6,2014-01-01,5.0,1
299,Eat Pray Love,60.0,80.57401,206.598789,Sony,en,9.991,2010-08-12,6.0,1208
300,Jack Reacher,60.0,80.070736,217.370736,Par.,en,18.312,2012-12-21,6.4,4155
301,Contagion,60.0,75.658097,137.551594,WB,en,2.178,2010-03-29,4.3,6
302,Contagion,60.0,75.658097,137.551594,WB,en,10.444,2011-09-09,6.3,2128
303,London Has Fallen,60.0,62.52426,195.194085,Focus,en,15.287,2016-03-04,5.9,2591
304,Jack Reacher: Never Go Back,60.0,58.697076,159.946489,Par.,en,17.085,2016-10-21,5.6,2831
305,Baywatch,60.0,58.060186,175.863783,Par.,en,14.429,2017-05-26,6.1,4748
306,Joy,60.0,56.451232,101.134059,Fox,en,10.305,2015-12-25,6.5,2723
307,ParaNorman,60.0,56.003051,108.119662,Focus,en,13.32,2012-08-17,6.8,1358
308,The Boxtrolls,60.0,50.837305,111.946251,Focus,en,11.219000000000001,2014-09-26,6.7,1016
309,The Dark Tower,60.0,50.701325,113.461527,Sony,en,15.517000000000001,2017-08-04,5.6,2842
310,Jack Ryan: Shadow Recruit,60.0,50.577412,131.377412,Par.,en,11.061,2014-01-17,6.1,1687
311,Vice,60.0,47.836282,70.883171,Annapurna,en,14.640999999999998,2015-01-16,4.3,312
312,Vice,60.0,47.836282,70.883171,Annapurna,en,20.125,2018-12-25,7.1,1213
313,Gangster Squad,60.0,46.000903,104.100903,WB,en,13.029000000000002,2013-01-11,6.3,2527
314,Smurfs: The Lost Village,60.0,45.020282,197.578586,Sony,en,15.663,2017-04-07,6.2,736
315,First Man,60.0,44.936545,105.203825,Uni.,en,22.958000000000002,2018-10-12,7.1,2304
316,Edge of Darkness,60.0,43.31389,82.812456,WB,en,11.252,2010-01-29,6.3,794
317,Edge of Darkness,60.0,43.31389,82.812456,WB,en,0.6,2015-11-01,7.0,1
318,Trouble with the Curve,60.0,35.763137,47.818913,WB,en,8.548,2012-09-21,6.7,613
319,The Mortal Instruments: City of Bones,60.0,31.165421,75.965567,SGem,en,16.484,2013-08-21,6.3,2915
320,Priest,60.0,29.136626,84.154026,SGem,en,15.318,2011-05-13,5.5,1157
321,Rock Dog,60.0,9.420546,24.148488,LG/S,en,10.362,2017-02-24,5.7,123
322,Mortdecai,60.0,7.696134,30.396134,LGF,en,13.263,2015-01-23,5.4,1666
323,Sherlock Gnomes,59.0,43.242871,87.527651,Par.,en,12.987,2018-03-23,5.4,343
324,Deadpool,58.0,363.070709,801.025593,Fox,en,35.067,2016-02-12,7.6,20175
325,American Sniper,58.0,350.126372,547.326372,WB,en,18.473,2014-12-25,7.4,7658
326,Goosebumps,58.0,80.069458,158.905324,Sony,en,18.957,2015-10-16,6.2,2147
327,Red Tails,58.0,49.876377,50.365498,Fox,en,10.247,2012-01-11,6.0,256
328,The Internship,58.0,44.672764,93.672764,Fox,en,0.6,2013-06-07,6.2,2631
329,Resident Evil: Afterlife,57.5,60.128566,295.87419,SGem,en,0.667,2010-09-10,5.9,2119
330,That's My Boy,57.5,36.931089,58.085235,Sony,en,12.817,2012-06-15,5.5,831
331,Ghost Rider: Spirit of Vengeance,57.0,51.774002,149.217355,Sony,en,18.678,2011-12-10,4.8,2039
332,Into the Woods,56.2,128.002372,213.116401,BV,en,13.725999999999999,2014-12-25,5.7,2880
333,Bohemian Rhapsody,55.0,216.303339,894.985342,Fox,en,37.196999999999996,2018-11-02,8.1,7629
334,Fifty Shades Darker,55.0,114.43401,381.398492,Uni.,en,12.083,2017-02-10,6.1,4489
335,Captain Phillips,55.0,107.136417,220.648184,Sony,en,15.482999999999999,2013-10-11,7.6,3909
336,The Equalizer,55.0,101.530738,192.903624,Sony,en,28.941999999999997,2014-09-26,7.2,4989
337,Fifty Shades Freed,55.0,100.40776,371.350619,Uni.,en,22.511999999999997,2018-02-09,6.1,3535
338,Date Night,55.0,98.711404,152.269033,Fox,en,12.498,2010-04-08,6.0,1743
339,Paddington,55.0,76.223578,258.789097,W/Dim.,en,13.565,2015-01-16,7.0,1904
340,Free Birds,55.0,55.75048,110.387072,Rela.,en,11.062000000000001,2013-11-01,5.8,410
341,Muppets Most Wanted,55.0,51.178893,79.312301,BV,en,9.118,2014-03-21,6.2,473
342,Kubo and the Two Strings,55.0,48.023088,77.548122,Focus,en,13.847000000000001,2016-08-19,7.7,2029
343,Burlesque,55.0,39.440655,90.552675,SGem,en,8.676,2010-11-23,7.1,1195
344,The Watch,55.0,34.353,67.130045,Fox,en,10.228,2012-07-27,5.4,1356
345,Crimson Peak,55.0,31.09032,74.966854,Uni.,en,9.897,2015-10-16,6.5,2986
346,Bullet to the Head,55.0,9.489829,22.597969,WB,en,17.574,2013-02-01,5.4,681
347,Black Mass,53.0,62.575678,98.837872,WB,en,14.645999999999999,2015-09-18,6.4,2020
348,Black Mass,53.0,62.575678,98.837872,WB,en,0.9590000000000001,2017-05-01,10.0,1
349,Zero Dark Thirty,52.5,95.720716,134.612435,Sony,en,14.239,2012-12-19,6.9,2553
350,Valentine's Day,52.0,110.485654,217.569328,WB (NL),en,11.187000000000001,2010-02-11,5.8,1907
351,The Change-Up,52.0,37.243418,75.997067,Uni.,en,12.122,2011-08-05,6.0,1406
352,Alpha,51.0,35.851379,99.624873,Studio 8,en,24.535999999999998,2018-08-17,5.9,1167
353,The Adjustment Bureau,50.2,62.495645,126.931325,Uni.,en,13.717,2011-03-04,6.6,2615
354,Ted,50.0,218.66574,556.016627,Uni.,en,14.475,2012-06-29,6.3,7727
355,22 Jump Street,50.0,191.719337,331.333876,Sony,en,11.175999999999998,2014-06-13,6.9,5167
356,Central Intelligence,50.0,127.440871,217.194805,WB (NL),en,14.478,2016-06-17,6.3,3133
357,Anchorman 2: The Legend Continues,50.0,127.352707,172.185754,Par.,en,12.08,2013-12-18,6.1,1408
358,Super 8,50.0,127.004179,257.972745,Par.,en,14.39,2011-06-09,6.7,3934
359,Creed II,50.0,115.715889,213.591522,MGM,en,26.906999999999996,2018-11-21,6.7,2236
360,Peter Rabbit,50.0,115.234093,347.136477,Sony,en,15.974,2018-02-09,6.5,650
361,The Mule,50.0,103.804407,170.857676,WB,en,6.1610000000000005,2014-03-10,6.4,77
362,The Mule,50.0,103.804407,170.857676,WB,en,33.83,2018-12-14,6.5,1584
363,Non-Stop,50.0,91.74216,222.383055,Uni.,en,2.2640000000000002,2013-11-29,5.6,23
364,Non-Stop,50.0,91.74216,222.383055,Uni.,en,13.562000000000001,2014-02-28,6.8,3330
365,The Emoji Movie,50.0,86.089513,216.562312,Sony,en,14.88,2017-07-23,5.4,1447
366,The Post,50.0,81.903458,179.74888,Fox,en,15.550999999999998,2017-12-22,7.0,2506
367,We Bought a Zoo,50.0,75.62455,118.729073,Fox,en,9.931000000000001,2011-12-23,6.7,1523
368,Moneyball,50.0,75.605492,111.300835,Sony,en,15.392999999999999,2011-09-22,7.1,2255
369,American Reunion,50.0,56.758835,236.799211,Uni.,en,17.199,2012-04-06,6.2,2679
370,13 Hours: The Secret Soldiers of Benghazi,50.0,52.853219,69.41137,Par.,en,21.486,2016-01-15,7.0,1573
371,American Made,50.0,51.342,135.569212,Uni.,en,16.748,2017-09-29,6.7,2188
372,The Judge,50.0,47.119388,76.119388,WB,en,16.464000000000002,2014-10-10,7.3,2356
373,The Judge,50.0,47.119388,76.119388,WB,en,0.6,2018-04-13,7.5,2
374,War Dogs,50.0,43.034523,86.234503,WB,en,10.654000000000002,2016-08-19,6.8,2387
375,The Nice Guys,50.0,36.261763,59.596747,WB,en,13.743,2016-05-20,7.1,4272
376,Marmaduke,50.0,33.644788,89.89593,Fox,en,8.487,2010-06-04,5.1,367
377,Hereafter,50.0,32.746941,108.66027,WB,en,7.886,2010-10-22,5.9,848
378,Zoolander 2,50.0,28.848693,55.348693,Par.,en,12.997,2016-02-12,4.7,1374
379,Run All Night,50.0,26.461644,66.961644,WB,en,17.592,2015-03-13,6.4,1684
380,Your Highness,50.0,21.596445,26.121638,Uni.,en,0.6,2010-01-01,3.0,4
